semester,skema,title,link,ID,duration
E13/F14,Skema C,Funktionsrum Del 1,https://video.dtu.dk/media/Funktionsrum+Del+1/0_x3nno6d8/200597,0_x3nno6d8,2390.88
E13/F14,Skema C,Funktionsrum Del 2,https://video.dtu.dk/media/Funktionsrum+Del+2/0_u73c37dy/200597,0_u73c37dy,2209.32
E13/F14,Skema C,Egenværdier Del 1,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+1/0_4xnedrvh/200597,0_4xnedrvh,2499.6
E13/F14,Skema C,Egenværdier Del 2,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+2/0_vgbqhvlg/200597,0_vgbqhvlg,2289.24
E13/F14,Skema C,Diagonalisering Del 1,https://video.dtu.dk/media/Diagonalisering+Del+1/0_fta8zqth/200597,0_fta8zqth,3141.52
E13/F14,Skema C,Diagonalisering Del 2,https://video.dtu.dk/media/Diagonalisering+Del+2/0_2ml4s3vg/200597,0_2ml4s3vg,1943.28
E13/F14,Skema C,1. ord. diff-ligninger Del 1,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+1/0_myqea1j6/200597,0_myqea1j6,2726.68
E13/F14,Skema C,1. ord. diff-ligninger Del 2,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+2/0_4y8hji6m/200597,0_4y8hji6m,1773.76
E13/F14,Skema C,2. Ord. Diff-Ligninger Del 1,https://video.dtu.dk/media/2.+Ord.+Diff-Ligninger+Del+1/0_ne0kwt0v/200597,0_ne0kwt0v,2127.36
E13/F14,Skema C,2. ord. diff-ligninger Del 2,https://video.dtu.dk/media/2.+ord.+diff-ligninger+Del+2/0_4ijkcewg/200597,0_4ijkcewg,2318.92
E13/F14,Skema C,System af diff-ligninger Del 1,https://video.dtu.dk/media/System+af+diff-ligninger+Del+1/0_gldq89m2/200597,0_gldq89m2,2822.8
E13/F14,Skema C,System af diff-ligninger Del 2,https://video.dtu.dk/media/System+af+diff-ligninger+Del+2/0_uxy1yxec/200597,0_uxy1yxec,1967.04
E13/F14,Skema C,Repetition Del 1,https://video.dtu.dk/media/Repetition+Del+1/0_0kfoi6sn/200597,0_0kfoi6sn,2982.28
E13/F14,Skema C,Repetition Del 2,https://video.dtu.dk/media/Repetition+Del+2/0_jchim021/200597,0_jchim021,2706.6
E13/F14,Skema C,Taylor 1 variable Del 1,https://video.dtu.dk/media/Taylor+1+variable+Del+1/0_1yrye84n/200597,0_1yrye84n,2759.8
E13/F14,Skema C,Taylor 1 variable Del 2,https://video.dtu.dk/media/Taylor+1+variable+Del+2/0_1n8a5igh/200597,0_1n8a5igh,2793.64
E13/F14,Skema C,Funktioner 2 variable Del 1,https://video.dtu.dk/media/Funktioner+2+variable+Del+1/0_z1pn08gn/200597,0_z1pn08gn,3176.68
E13/F14,Skema C,Funktioner 2 variable Del 2,https://video.dtu.dk/media/Funktioner+2+variable+Del+2/0_3lvqyteu/200597,0_3lvqyteu,2447.84
E13/F14,Skema C,Gradienter Del 1,https://video.dtu.dk/media/Gradienter+Del+1/0_eialdopd/200597,0_eialdopd,3157.28
E13/F14,Skema C,Gradienter Del 2,https://video.dtu.dk/media/Gradienter+Del+2/0_017ci9cj/200597,0_017ci9cj,1944.52
E13/F14,Skema C,Værdimængde Del 1,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+1/0_df2dslrq/200597,0_df2dslrq,2719.36
E13/F14,Skema C,Værdimængde Del 2,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+2/0_g1dsxbs8/200597,0_g1dsxbs8,1626.52
E13/F14,Skema C,Symmetriske matricer Del 1,https://video.dtu.dk/media/Symmetriske+matricer+Del+1/0_sr0npicx/200597,0_sr0npicx,2823.4
E13/F14,Skema C,Symmetriske matricer Del 2,https://video.dtu.dk/media/Symmetriske+matricer+Del+2/0_ebssutn4/200597,0_ebssutn4,2481.88
E13/F14,Skema C,Keglesnit Del 1,https://video.dtu.dk/media/Keglesnit+Del+1/0_6r5xmjd9/200597,0_6r5xmjd9,2974.12
E13/F14,Skema C,Keglesnit Del 2,https://video.dtu.dk/media/Keglesnit+Del+2/0_rlemfh0z/200597,0_rlemfh0z,2714.04
E13/F14,Skema C,Taylor 2 variable Del 1,https://video.dtu.dk/media/Taylor+2+variable+Del+1/0_badrun7d/200597,0_badrun7d,1689.24
E13/F14,Skema C,Taylor 2 variable Del 2,https://video.dtu.dk/media/Taylor+2+variable+Del+2/0_ddkera68/200597,0_ddkera68,2325.36
E13/F14,Skema C,Riemann integraler Del 1,https://video.dtu.dk/media/Riemann+integraler+Del+1/0_r7xjtw2h/200597,0_r7xjtw2h,2508.4
E13/F14,Skema C,Riemann integraler Del 2,https://video.dtu.dk/media/Riemann+integraler+Del+2/0_16awr589/200597,0_16awr589,2258.52
E13/F14,Skema C,Plan integraler Del 1,https://video.dtu.dk/media/Plan+integraler+Del+1/0_ktl49hb6/200597,0_ktl49hb6,2648.28
E13/F14,Skema C,Plan integraler Del 2,https://video.dtu.dk/media/Plan+integraler+Del+2/0_9d9k687u/200597,0_9d9k687u,2277.16
E13/F14,Skema C,Flader/Fladeintegraler Del 1,https://video.dtu.dk/media/Flader+Fladeintegraler+Del+1/0_pq0hvy58/200597,0_pq0hvy58,3005.48
